ID,URL,Title,Author,Category,Publish,Page,Size (MB),Downloads
1,https://pdfdrive.to//download/the-daily-stoic-366-meditations-on-wisdom-perseverance-and-the-art-of-living,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",,Self-improvement,2017,406,2.6,13930
2,https://pdfdrive.to//download/boundaries-when-to-say-yes-how-to-say-no-to-take-control-of-your-life,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",Henry Cloud,Self-improvement,2001,357,1.9,12380
3,https://pdfdrive.to//download/the-5-second-rule-transform-your-life-work-and-confidence-with-everyday-courage,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",,Self-improvement,2017,252,11.94,22470
4,https://pdfdrive.to//download/you-are-a-badass-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Self-improvement,2015,689,1.32,7200
5,https://pdfdrive.to//download/the-gifts-of-imperfection-embrace-who-you-are,The Gifts of Imperfection: Embrace Who You Are,Brene Brown,Self-improvement,2015,98,1.1,2810
6,https://pdfdrive.to//download/the-miracle-morning-the-not-so-obvious-secret-guaranteed-to-transform-your-life,The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life,,Self-improvement,2017,187,1.15,4833
7,https://pdfdrive.to//download/100-ways-to-motivate-yourself-change-your-life-forever,100 Ways to Motivate Yourself: Change Your Life Forever,,Self-improvement,2009,151,1.37,6516
8,https://pdfdrive.to//download/the-power-of-now-a-guide-to-spiritual-enlightenment,The Power of Now: A Guide to Spiritual Enlightenment,,Self-improvement,2006,124,7.51,3266
9,https://pdfdrive.to//download/living-in-the-light-a-guide-to-personal-transformation,Living in the Light: A guide to personal transformation,David Sargent,Self-improvement,2001,258,2.74,1040
10,https://pdfdrive.to//download/psychology-a-self-teaching-guide,Psychology - A Self-Teaching Guide,Frank J. Bruno,Self-improvement,2002,289,2.06,10825
11,https://pdfdrive.to//download/the-power-of-self-esteem,The Power of Self-Esteem,,Self-improvement,2002,60,3.16,8588
